#{"t_start": 1764333360.1245508, "env_id": "None"}
r,l,t
35.879993,177,192256.394687
31.033329,155,192273.858298
29.593323,175,192293.13103
36.339996,187,192297.529865
12.833332,169,192311.136605
30.43333,179,192320.365441
26.62,147,192321.580676
34.019997,197,192330.186883
17.393322,177,192353.681507
41.38667,185,192378.881813
27.526659,173,192395.372144
31.87333,172,192421.311604
22.00666,223,192424.560479
39.979996,193,192426.103724
33.919994,196,192449.645745
39.399994,228,192463.739513
10.179993,181,192470.880783
33.153328,172,192492.274764
32.426666,178,192513.213618
29.273336,164,192527.085791
38.233326,205,192553.016363
34.753326,171,192553.93293
28.69333,154,192554.952151
39.806664,209,192557.35012
35.14,167,192570.966661
31.41333,155,192585.062027
32.43333,168,192605.80992
37.559994,182,192627.768389
31.299995,178,192655.922662
34.499992,180,192661.477706
33.55332,210,192677.151581
31.439999,184,192677.714418
41.839993,224,192686.629739
31.159992,199,192704.1675
33.633335,161,192706.329907
30.18666,165,192731.358528
32.82666,149,192764.507234
41.76,183,192770.420535
35.42,197,192773.472126
29.099995,182,192795.474129
21.213333,112,192796.827719
15.413324,174,192814.232622
33.199997,179,192814.714838
39.97333,256,192834.310759
28.539999,156,192863.150572
3.1200004,91,192869.779169
31.459995,174,192887.772325
24.326666,130,192896.13295
10.273326,198,192898.371193
30.739998,161,192902.661903
11.533333,109,192937.875657
33.899998,169,192943.823007
41.31333,233,192947.383821
5.5733337,110,192976.25334
32.226665,175,192984.533173
29.206665,158,192989.651436
29.326666,163,193000.861495
37.10666,190,193019.142715
25.639996,145,193034.775993
36.073334,177,193047.474026
14.940002,186,193061.500304
36.09333,179,193082.856041
32.853333,174,193089.693137
36.28,185,193101.336586
36.699993,175,193108.650725
16.093332,147,193110.015111
30.366661,158,193145.077089
37.35333,183,193148.937272
34.18667,174,193168.573286
30.679993,158,193177.329677
22.773333,132,193185.136003
34.47333,176,193194.247874
29.82666,168,193201.061799
36.646667,216,193236.558594
33.946663,185,193252.825039
34.893333,187,193257.765625
30.159992,179,193273.654613
27.106665,139,193286.578268
31.146664,155,193287.900929
33.966667,196,193296.018538
34.173332,187,193297.304885
25.546667,134,193315.230421
11.533333,104,193344.801953
37.206665,182,193359.404505
30.126663,152,193362.105591
29.293337,196,193371.843515
28.253332,149,193383.814849
37.773327,172,193387.616647
28.133327,158,193505.13214
40.466663,213,193512.502757
30.726662,161,193532.982529
32.006664,179,193554.082961
30.506664,161,193556.356623
32.219997,203,193573.541948
30.359997,187,193587.959745
32.846664,170,193599.368582
30.013325,175,193612.901992
21.440004,246,193618.635558
35.106667,192,193646.492417
28.32,151,193667.948109
12.480002,182,193669.436948
37.613327,184,193673.587877
4.346667,101,193683.512344
11.6333275,195,193712.173672
38.086662,187,193718.164536
33.659992,179,193730.967057
31.30666,161,193763.818098
32.66,204,193767.181157
4.339996,197,193788.667337
38.12666,200,193789.986584
35.519993,199,193806.033005
27.953331,146,193812.92117
35.899994,191,193840.984273
9.553333,112,193864.693466
18.466671,208,193886.315239
29.126661,161,193895.42176
24.939993,179,193929.397962
34.23333,167,193935.891242
26.699995,164,193940.808357
20.553331,207,193950.606607
37.306664,189,193977.47448
34.806664,177,193988.902613
22.08,136,193992.230795
17.533337,169,194008.822414
31.119999,166,194064.660422
23.32,160,194065.836872
38.859997,184,194073.404679
11.533333,101,194097.962249
26.85333,172,194138.52684
36.333332,215,194138.52684
22.22,183,194157.276306
33.96666,206,194181.98145
30.159996,149,194206.103688
32.319992,161,194217.443718
14.7533245,169,194230.720822
23.213333,127,194246.892457
22.88,136,194255.476287
18.49332,194,194271.113439
38.526672,172,194301.672024
36.39333,174,194343.871118
41.84666,209,194348.018029
31.186665,175,194355.262437
33.61333,190,194382.80733
28.59999,175,194393.747324
15.193329,185,194394.596112
22.406662,184,194415.612068
29.733332,158,194423.471497
29.199995,152,194475.821523
32.839996,181,194490.630566
7.206666,108,194498.650952
38.806664,200,194500.380896
33.979992,179,194537.236033
34.586666,193,194537.236033
26.666662,220,194575.553557
29.466665,212,194601.623561
31.633327,173,194619.323394
28.699995,157,194623.444352
30.05333,156,194630.138186
34.826664,185,194651.383709
27.880001,152,194655.008003
27.273327,177,194670.167224
26.913334,150,194702.305772
36.366665,217,194721.014979
34.06666,176,194734.813732
23.07333,132,194739.272435
33.493332,176,194742.478654
30.239998,155,194750.445202
33.053326,225,194769.584394
33.24666,178,194787.421885
34.493332,165,194804.688705
21.259998,156,194819.439399
28.806665,146,194830.856619
27.086662,166,194840.079057
35.519997,194,194854.414498
34.993332,162,194867.347933
38.519997,212,194879.052939
36.939995,169,194886.320625
29.39333,159,194916.919808
38.286667,215,194937.932867
27.539995,156,194939.258976
7.2266665,122,194944.657582
39.83333,196,194955.434334
40.439995,189,194972.354224
33.426662,166,194983.699316
32.899994,175,194994.897629
20.366665,112,195009.905922
27.693333,151,195026.263524
33.526665,169,195036.307848
32.71333,201,195036.307848
27.40666,156,195045.703632
32.21333,173,195071.426831
27.97333,154,195084.436416
38.95999,196,195098.4801
29.706665,144,195134.050055
36.34,208,195134.889705
13.573334,132,195155.499364
37.453323,194,195158.632144
33.926662,198,195161.871185
28.926659,224,195170.1459
28.719997,151,195185.003746
35.94,164,195212.637943
12.053334,131,195252.992049
30.32,178,195266.790131
33.693333,181,195268.674156
29.679996,154,195288.792198
20.293331,116,195308.543457
12.419991,204,195319.590884
32.606667,169,195321.321387
29.96,213,195331.13292
36.399994,183,195403.807631
33.17333,181,195413.686314
34.55332,179,195428.008211
38.63333,209,195434.126357
26.586666,153,195437.764929
33.39333,170,195447.137427
31.93333,160,195448.794095
29.586658,191,195449.97742
29.679995,180,195518.905927
23.146666,170,195522.439336
25.433334,144,195524.092694
11.073325,196,195555.466136
35.70666,194,195561.882372
29.65333,177,195562.952721
31.37999,226,195596.608437
37.306656,243,195614.179356
26.680002,172,195646.979557
29.259996,169,195647.878602
32.40666,179,195650.012184
28.806665,153,195674.479444
20.513338,174,195683.155739
34.039993,175,195693.857767
32.799995,167,195741.499851
16.413338,205,195752.149845
29.046663,158,195768.408094
27.25333,166,195773.610649
34.61333,156,195801.8074
36.533333,206,195802.943265
33.37333,179,195809.396137
33.41333,181,195828.944035
33.979996,169,195858.156082
31.153328,156,195881.435098
35.399998,186,195884.155427
35.86666,176,195893.896725
28.42666,147,195912.743586
38.64666,174,195924.681731
30.126663,159,195937.927701
19.266666,96,195949.957035
38.66666,215,195950.964373
30.693329,157,195993.601319
26.826666,148,195999.434714
31.859993,236,196035.517397
